code,name,altname,label,x,y
E06000002,Middlesbrough,,E06000002,450402.709541779,516635.485494619
E07000153,Kettering,,E07000153,484044.565501538,281623.327309775
E07000164,Hambleton,,E07000164,444424.687228003,488119.073917499
E06000025,South Gloucestershire,,E06000025,367461.065796229,183209.35498043
E07000148,Norwich,,E07000148,622251.159358113,308846.243930663
E07000223,Adur,,E07000223,519881.448489245,106374.018429454
E09000020,Kensington and Chelsea,,E09000020,525575.304456854,179580.07635774
E07000139,North Kesteven,,E07000139,504196.350755632,354890.018489749
E07000169,Selby,,E07000169,457108.958753239,432650.672539636
E08000017,Doncaster,,E08000017,460015.792559934,405676.851909422
E09000013,Hammersmith and Fulham,,E09000013,523609.298644956,178841.367949202
E07000213,Spelthorne,,E07000213,506612.96792069,170645.896599963
E07000130,Charnwood,,E07000130,457748.905193461,315827.35336921
E07000074,Maldon,,E07000074,592383.293429012,204887.221508144
E07000011,Huntingdonshire,,E07000011,521221.083483486,276552.694844044
E07000050,North Dorset,,E07000050,382779.882880788,112584.86190961
E06000019,"Herefordshire, County of",,E06000019,349071.588843086,245278.243608994
E07000028,Carlisle,,E07000028,348353.100809754,564334.686016854
E08000009,Trafford,,E08000009,376480.256049306,391414.41532861
E08000010,Wigan,,E08000010,361015.632071489,403215.53764121
E07000131,Harborough,,E07000131,467369.516938094,293956.806282091
E07000227,Horsham,,E07000227,514745.723716319,122865.711773311
E08000011,Knowsley,,E08000011,344674.531304204,392357.660394063
E07000101,Stevenage,,E07000101,524661.812494478,224413.936945
E08000002,Bury,,E08000002,379408.9856549,410184.476399752
E07000141,South Kesteven,,E07000141,499899.653040339,329561.755465419
E06000032,Luton,,E06000032,508435.38246614,222912.629238621
E07000135,Oadby and Wigston,,E07000135,461516.961354417,299198.553893394
E07000200,Babergh,,E07000200,600011.141793516,243141.810962004
E07000105,Ashford,,E07000105,596821.442858504,139981.709949636
E08000001,Bolton,,E08000001,369179.485759155,409217.765470042
E07000043,North Devon,,E07000043,265939.817180525,131799.528682202
E08000027,Dudley,,E08000027,392713.404636121,287218.280594975
E07000178,Oxford,,E07000178,452489.822867329,206483.56334954
E07000123,Preston,,E07000123,354159.774854067,435282.403534275
E09000005,Brent,,E09000005,520176.90640023,185829.122203319
E07000236,Redditch,,E07000236,403381.032039269,264905.807371489
E07000168,Scarborough,,E07000168,488805.758728996,497623.042128125
E07000208,Epsom and Ewell,,E07000208,521197.540630783,161443.22846308
E08000032,Bradford,,E08000032,409659.244408886,438724.227031441
E06000009,Blackpool,,E06000009,331923.239181275,436206.678870336
E09000016,Havering,,E09000016,554005.144137554,187250.532379148
E06000035,Medway,,E06000035,578722.513997988,172765.214873557
E07000165,Harrogate,,E07000165,426567.955851601,463538.09944865
E09000029,Sutton,,E09000029,526975.827469017,164132.329004241
E06000026,Plymouth,,E06000026,249415.400003849,56801.1756035835
E06000045,Southampton,,E06000045,442363.358681201,113232.445463144
E07000205,Suffolk Coastal,,E07000205,633441.812816073,257093.374077435
E06000027,Torbay,,E06000027,291435.921785558,61204.1001732142
E07000038,North East Derbyshire,,E07000038,436929.963948188,370005.503193382
E06000007,Warrington,,E06000007,362621.329641513,389257.182441202
E07000197,Stafford,,E07000197,388210.543126879,327864.756200277
E07000005,Chiltern,,E07000005,494972.485359521,198861.913055511
E07000134,North West Leicestershire,,E07000134,440247.910188473,317443.983214959
E07000136,Boston,,E07000136,532894.738369968,343701.539981641
E07000140,South Holland,,E07000140,532879.830246092,324135.22909939
E07000026,Allerdale,,E07000026,319771.88108167,535861.934128392
E07000008,Cambridge,,E07000008,545867.847529717,257825.614665449
E07000053,Weymouth and Portland,,E07000053,367875.612489133,78963.5427213971
E07000217,Woking,,E07000217,500403.679582326,158179.060086347
E07000214,Surrey Heath,,E07000214,492695.169275803,161265.679976847
E08000024,Sunderland,,E08000024,435260.560374251,554097.899262715
E07000212,Runnymede,,E07000212,501584.141612001,167092.398532525
E07000089,Hart,,E07000089,476987.093900164,154540.743350151
E09000010,Enfield,,E09000010,532423.16727293,196420.692190583
E07000077,Uttlesford,,E07000077,556829.350197268,228687.328692455
E07000220,Rugby,,E07000220,445814.9429564,276471.09335157
E07000116,Tunbridge Wells,,E07000116,570240.90266478,137821.421076077
E07000219,Nuneaton and Bedworth,,E07000219,435676.435090105,289376.291679733
E07000147,North Norfolk,,E07000147,613502.693093596,332859.748543901
E08000030,Walsall,,E08000030,402375.570131362,300163.978420457
E09000008,Croydon,,E09000008,533289.66491522,163541.401190727
E07000029,Copeland,,E07000029,310984.934894081,502916.734593659
E06000037,West Berkshire,,E06000037,448431.998756661,172522.95437724
E06000033,Southend-on-Sea,,E06000033,589326.71657624,185662.097742853
E07000081,Gloucester,,E07000081,383545.87374646,216779.516269066
E07000004,Aylesbury Vale,,E07000004,476804.070666812,222101.542957889
E08000029,Solihull,,E08000029,418659.75076242,279492.33026031
E07000104,Welwyn Hatfield,,E07000104,524715.29588396,209121.069499544
E06000054,Wiltshire,,E06000054,403958.586387645,155333.568056118
E07000235,Malvern Hills,,E07000235,376531.253002451,253890.345932259
E08000003,Manchester,,E08000003,384654.981777731,394994.722302027
E08000012,Liverpool,,E08000012,339119.204722134,389128.055482532
E07000194,Lichfield,,E07000194,413283.834730032,310071.158512077
E07000128,Wyre,,E07000128,343989.055133175,445540.58656678
E09000021,Kingston upon Thames,,E09000021,519297.021465555,166818.306075081
E06000034,Thurrock,,E06000034,564793.201928459,181231.01401701
E07000188,Sedgemoor,,E07000188,333508.317751609,143270.091958003
E09000015,Harrow,,E09000015,514986.565955877,190066.711032346
E06000050,Cheshire West and Chester,,E06000050,350940.621346687,367261.59431532
E07000007,Wycombe,,E07000007,482065.977860794,195153.165030124
E07000218,North Warwickshire,,E07000218,425319.315130692,294468.374610767
E09000032,Wandsworth,,E09000032,526128.582056109,174114.189639382
E07000175,Newark and Sherwood,,E07000175,472387.4269582,359075.603054922
E08000020,Gateshead,,E08000020,420415.369434576,560123.46199292
E07000119,Fylde,,E07000119,339289.914273181,432352.575225315
E08000021,Newcastle upon Tyne,,E08000021,421982.677858363,568176.625804245
E09000018,Hounslow,,E09000018,513583.274766822,175657.659715539
E08000007,Stockport,,E08000007,391577.198868601,388577.552954084
E08000005,Rochdale,,E08000005,389655.219239895,413347.032538641
E07000082,Stroud,,E07000082,379369.395931355,203434.274985709
E07000069,Castle Point,,E07000069,580003.451664492,185152.482176962
E07000034,Chesterfield,,E07000034,440043.534149468,373419.745725874
E07000096,Dacorum,,E07000096,500761.081180647,209841.764185872
E07000222,Warwick,,E07000222,428413.296619706,268068.813366701
E07000167,Ryedale,,E07000167,474968.606621765,480025.284963297
E07000192,Cannock Chase,,E07000192,401432.63961282,312746.934174074
E07000041,Exeter,,E07000041,293494.541812984,92422.2956195018
E07000091,New Forest,,E07000091,426520.777301121,106601.230491672
E06000036,Bracknell Forest,,E06000036,487751.644074299,168429.65525455
E06000043,Brighton and Hove,,E06000043,531535.339260799,106544.309133516
E07000171,Bassetlaw,,E07000171,469427.31791737,382267.737379937
E07000113,Swale,,E07000113,596035.458468202,164044.50691309
E07000107,Dartford,,E07000107,556724.980405279,172680.081781425
E09000014,Haringey,,E09000014,531199.225932193,189643.036120299
E07000098,Hertsmere,,E07000098,518944.777895271,199011.23461833
E07000040,East Devon,,E07000040,313734.269970629,96785.1339940947
E06000005,Darlington,,E06000005,429039.4167024,517141.637084643
E07000201,Forest Heath,,E07000201,572499.727580155,275982.071873486
E07000066,Basildon,,E07000066,570943.798402832,190801.661866534
E07000067,Braintree,,E07000067,578118.158715175,230204.708412912
E07000036,Erewash,,E07000036,444007.027342477,337765.269322155
E07000121,Lancaster,,E07000121,353307.502617605,463914.99099186
E08000014,Sefton,,E08000014,332793.970734875,408100.606417282
E07000166,Richmondshire,,E07000166,404365.173653722,496225.967910385
E06000001,Hartlepool,,E06000001,448108.679089826,530697.650791006
E07000189,South Somerset,,E07000189,350269.794606764,121211.945157934
E09000025,Newham,,E09000025,541443.933459318,182849.030704303
